Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop
CO_330:0000276,PlVig_Et_1to9,Plant_Vigor,Evaluation in Breeding Trials,,Recommended,,CIP,Breeders,2017-05-04 00:00:00,EN,Potato
CO_330:0000280,Sen_Et_1to9,SE,Evaluation in Breeding Trials,,Recommended,,CIP,Breeders,2017-05-04 00:00:00,EN,Potato
CO_330:0000283,PPlEg_Cp_per,PPE,Evaluation in Breeding Trials,,Recommended,,CIP,Breeders,2017-05-04 00:00:00,EN,Potato
CO_330:0000287,PltHrv_Ct_plot,NPH,Evaluation in Breeding Trials,Harvest,Recommended,,CIP,Breeders,2017-05-04 00:00:00,EN,Potato
CO_330:0000290,PPlHv_Cp_per,PPH,Evaluation in Breeding Trials,Harvest,Recommended,,CIP,Breeders,2017-05-04 00:00:00,EN,Potato
CO_330:0000293,NMTb_Ct_plot,NMTP,Evaluation in Breeding Trials,Harvest,Recommended,,CIP,Breeders,2017-05-04 00:00:00,EN,Potato
CO_330:0000297,NMTb_Ct_plant,NMTPL,Evaluation in Breeding Trials,Harvest,Recommended,,CIP,Breeders,2017-05-04 00:00:00,EN,Potato
CO_330:0000300,NNoMTb_Ct_plot,NNoMTP,Evaluation in Breeding Trials,Harvest,Recommended,,CIP,Breeders,2017-05-04 00:00:00,EN,Potato
CO_330:0000304,TubN_Ct_plot,TNTP,Evaluation in Breeding Trials,Harvest,Recommended,,CIP,Breeders,2017-05-04 00:00:00,EN,Potato
CO_330:0000305,TubN_Ct_plant,TNTPL,Characterizing stocks,Harvest,Recommended,,CIP,Breeders,2017-05-04 00:00:00,EN,Potato
CO_330:0000308,MTbWg_Ms_kgplot,MTWP,Evaluation in Breeding Trials,Harvest,Recommended,,CIP,Breeders,2017-05-04 00:00:00,EN,Potato
CO_330:0000311,MTbWg_Ms_kgplant,MTWPL,Evaluation in Breeding Trials,Harvest,Recommended,,CIP,Breeders,2017-05-04 00:00:00,EN,Potato
CO_330:0000314,NoMTWg_Ms_kgplot,NoMTWP,Evaluation in Breeding Trials,Harvest,Recommended,,CIP,Breeders,2017-05-04 00:00:00,EN,Potato
CO_330:0000317,TubWg_Cp_kgplot,TTWP,Evaluation in Breeding Trials,Harvest,Recommended,,CIP,Breeders,2017-05-04 00:00:00,EN,Potato
CO_330:0000321,TubWg_Cp_plot,TTWPL,Evaluation in Breeding Trials,Harvest,Recommended,,CIP,Breeders,2017-05-04 00:00:00,EN,Potato
CO_330:0000323,TbYldAj_Cp_tha,TTYA,Evaluation in Breeding Trials,Harvest,Recommended,,CIP,Breeders,2017-05-04 00:00:00,EN,Potato
