subject_id	subject_label	predicate_id	object_id	object_label	confidence	mapping_justification	date	creator_id	subject_source_version	object_source_version
CO_330:0000153	Tuber dormancy period	skos:narrowMatch	TO:0000654	shoot system growth and development trait	1	sssom:HumanCuration	09/10/2020	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_330-potato-traits/3fc38aa1a09261de5e66bec1ac2bd1909c0cbb8f/Potato_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_330:0000273	Plant vigor	skos:narrowMatch	TO:0000250 	plant vigor trait	1	sssom:HumanCuration	09/10/2020	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_330-potato-traits/3fc38aa1a09261de5e66bec1ac2bd1909c0cbb8f/Potato_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_330:0000277	Senescence	skos:narrowMatch	TO:0000133	stature or vigor trait	1	sssom:HumanCuration	09/10/2020	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_330-potato-traits/3fc38aa1a09261de5e66bec1ac2bd1909c0cbb8f/Potato_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_330:0000345	Tuber appearance	skos:exactMatch	TO:0000745	subterranean shoot axis tuber appearance	1	sssom:HumanCuration	09/10/2020	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_330-potato-traits/3fc38aa1a09261de5e66bec1ac2bd1909c0cbb8f/Potato_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_330:0000349	Tuber uniformity	skos:narrowMatch	TO:0000745	subterranean shoot axis tuber appearance	1	sssom:HumanCuration	09/10/2020	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_330-potato-traits/3fc38aa1a09261de5e66bec1ac2bd1909c0cbb8f/Potato_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_330:0000306	Marketable tuber weight	skos:narrowMatch	TO:0000746	subterranean shoot axis tuber mass	1	sssom:HumanCuration	09/10/2020	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_330-potato-traits/3fc38aa1a09261de5e66bec1ac2bd1909c0cbb8f/Potato_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_330:0000309	Marketable tuber weight per plant	skos:narrowMatch	TO:0000746	subterranean shoot axis tuber mass	1	sssom:HumanCuration	09/10/2020	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_330-potato-traits/3fc38aa1a09261de5e66bec1ac2bd1909c0cbb8f/Potato_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_330:0000312	Non-marketable tuber weight	skos:narrowMatch	TO:0000746	subterranean shoot axis tuber mass	1	sssom:HumanCuration	09/10/2020	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_330-potato-traits/3fc38aa1a09261de5e66bec1ac2bd1909c0cbb8f/Potato_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_330:0000315	Tuber weight	skos:exactMatch	TO:0000746	subterranean shoot axis tuber mass	1	sssom:HumanCuration	09/10/2020	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_330-potato-traits/3fc38aa1a09261de5e66bec1ac2bd1909c0cbb8f/Potato_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_330:0000318	Tuber weight per plant	skos:narrowMatch	TO:0000746	subterranean shoot axis tuber mass	1	sssom:HumanCuration	09/10/2020	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_330-potato-traits/3fc38aa1a09261de5e66bec1ac2bd1909c0cbb8f/Potato_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_330:0000331	Average of tuber weight	skos:narrowMatch	TO:0000746	subterranean shoot axis tuber mass	1	sssom:HumanCuration	09/10/2020	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_330-potato-traits/3fc38aa1a09261de5e66bec1ac2bd1909c0cbb8f/Potato_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_330:0000334	Average of marketable tuber weight	skos:narrowMatch	TO:0000746	subterranean shoot axis tuber mass	1	sssom:HumanCuration	09/10/2020	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_330-potato-traits/3fc38aa1a09261de5e66bec1ac2bd1909c0cbb8f/Potato_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_330:0000108	Tuber number per plant	skos:narrowMatch	TO:0001071	shoot axis tuber yield	1	sssom:HumanCuration	09/10/2020	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_330-potato-traits/3fc38aa1a09261de5e66bec1ac2bd1909c0cbb8f/Potato_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_330:0000353	Tuber size	skos:exactMatch	TO:0000744	subterranean shoot axis tuber size	1	sssom:HumanCuration	09/10/2020	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_330-potato-traits/3fc38aa1a09261de5e66bec1ac2bd1909c0cbb8f/Potato_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_330:0000159	Tuber sprouting pattern	skos:narrowMatch	TO:0000742	subterranean shoot axis tuber morphology trait'	1	sssom:HumanCuration	09/10/2020	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_330-potato-traits/3fc38aa1a09261de5e66bec1ac2bd1909c0cbb8f/Potato_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_330:0000162	Heat tolerance	skos:exactMatch	TO:0000259	heat tolerance	1	sssom:HumanCuration	09/10/2020	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_330-potato-traits/3fc38aa1a09261de5e66bec1ac2bd1909c0cbb8f/Potato_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_330:0000165	Salinity tolerance	skos:exactMatch	TO:0006001	salt tolerance	1	sssom:HumanCuration	09/10/2020	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_330-potato-traits/3fc38aa1a09261de5e66bec1ac2bd1909c0cbb8f/Potato_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
